<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LC%2064055>	Mittel- und Westdeutschland | Deutschland | Mitteleuropa | Europa | Orts-, Flur-, Straßen-, Hausnamen | Namen | Sprache und Literatur | Kunst und Wissen | Sozial- und Kulturanthropologie. Empirische Kulturwissenschaft | Hessen	LC 64055
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LC%2066055>	Mittel- und Westdeutschland | Deutschland | Mitteleuropa | Europa | Allgemeines, Theoretisches, Zusammenfassendes | Literaturethnologie | Sprache und Literatur | Kunst und Wissen | Sozial- und Kulturanthropologie. Empirische Kulturwissenschaft | Hessen	LC 66055
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LC%2072055>	Mittel- und Westdeutschland | Deutschland | Mitteleuropa | Europa | Sprichwort und Redensart | Sprachformeln | Literaturethnologie | Sprache und Literatur | Kunst und Wissen | Sozial- und Kulturanthropologie. Empirische Kulturwissenschaft | Hessen	LC 72055
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LC%2073055>	Mittel- und Westdeutschland | Deutschland | Mitteleuropa | Europa | Spruch und Inschrift | Sprachformeln | Literaturethnologie | Sprache und Literatur | Kunst und Wissen | Sozial- und Kulturanthropologie. Empirische Kulturwissenschaft | Hessen	LC 73055
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LC%2076055>	Mittel- und Westdeutschland | Deutschland | Mitteleuropa | Europa | Allgemeines, Theoretisches, Zusammenfassendes | Erzählformen | Literaturethnologie | Sprache und Literatur | Kunst und Wissen | Sozial- und Kulturanthropologie. Empirische Kulturwissenschaft | Hessen	LC 76055
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LC%2078055>	Mittel- und Westdeutschland | Deutschland | Mitteleuropa | Europa | Schwank, Beispiel und Anekdote | Erzählformen | Literaturethnologie | Sprache und Literatur | Kunst und Wissen | Sozial- und Kulturanthropologie. Empirische Kulturwissenschaft | Hessen	LC 78055
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LC%2081055>	Mittel- und Westdeutschland | Deutschland | Mitteleuropa | Europa | Märchen | Erzählformen | Literaturethnologie | Sprache und Literatur | Kunst und Wissen | Sozial- und Kulturanthropologie. Empirische Kulturwissenschaft | Hessen	LC 81055
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LC%2082055>	Mittel- und Westdeutschland | Deutschland | Mitteleuropa | Europa | Sage | Erzählformen | Literaturethnologie | Sprache und Literatur | Kunst und Wissen | Sozial- und Kulturanthropologie. Empirische Kulturwissenschaft | Hessen	LC 82055
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LC%2086055>	Mittel- und Westdeutschland | Deutschland | Mitteleuropa | Europa | Lied und Gesang | Theater-, Musik- und Kunstethnologie | Kunst und Wissen | Sozial- und Kulturanthropologie. Empirische Kulturwissenschaft | Hessen	LC 86055
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LC%2087055>	Mittel- und Westdeutschland | Deutschland | Mitteleuropa | Europa | Musik, Klang, Akkustik | Theater-, Musik- und Kunstethnologie | Kunst und Wissen | Sozial- und Kulturanthropologie. Empirische Kulturwissenschaft | Hessen	LC 87055
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LC%2088055>	Mittel- und Westdeutschland | Deutschland | Mitteleuropa | Europa | Tanz | Theater-, Musik- und Kunstethnologie | Kunst und Wissen | Sozial- und Kulturanthropologie. Empirische Kulturwissenschaft | Hessen	LC 88055
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LH%2029924>	Westliche Länder: | Deutschland | Lexika der Museen | Museumskunde. Museumskataloge | Allgemeines. Allgemeine Kunstgeschichte | Kunstgeschichte | Hessen	LH 29924
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LK%2010680>	Hessen | Länder (Verwaltungseinheiten) | Deutsche Kunstgeschichte nach Ländern und Landschaften | Deutschland | Kunst nach Ländern bzw. Kontinenten | Kunstgeschichte | allgemein	LK 10680
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LK%2011140>	Einzelne deutsche Länder | Kunsttopografie Deutschlands | Deutschland | Kunst nach Ländern bzw. Kontinenten | Kunstgeschichte | Hessen	LK 11140
