uri,notation,label_german
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LK%2080687,LK 80687,Hessen | Länder (Verwaltungseinheiten) | Geschichte der deutschen Architektur nach Ländern und Landschaften | Architektur | Deutsche Kunstgeschichte nach Gattungen | Deutschland | Kunst nach Ländern bzw. Kontinenten | Kunstgeschichte | 19. und 20. Jahrhundert
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LK%2082280,LK 82280,Hessen | Länder (Verwaltungseinheiten) | Geschichte der deutschen Skulptur nach Ländern und Landschaften | Skulptur (Plastik) | Deutsche Kunstgeschichte nach Gattungen | Deutschland | Kunst nach Ländern bzw. Kontinenten | Kunstgeschichte | allgemein
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LK%2084280,LK 84280,Hessen | Länder (Verwaltungseinheiten) | Geschichte der deutschen Malerei nach Ländern und Landschaften | Malerei | Deutsche Kunstgeschichte nach Gattungen | Deutschland | Kunst nach Ländern bzw. Kontinenten | Kunstgeschichte | allgemein
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LK%2085840,LK 85840,Hessen | Länder | Geschichte der deutschen Zeichnung und Grafik nach Ländern und Landschaften | Zeichnung und Grafik | Deutsche Kunstgeschichte nach Gattungen | Deutschland | Kunst nach Ländern bzw. Kontinenten | Kunstgeschichte | allgemein
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LK%2086740,LK 86740,Hessen | Länder | Geschichte der deutschen Buchmalerei nach Ländern und Landschaften | Buchmalerei | Deutsche Kunstgeschichte nach Gattungen | Deutschland | Kunst nach Ländern bzw. Kontinenten | Kunstgeschichte | allgemein
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LK%2091840,LK 91840,"Hessen, Thüringen, Sachsen | Länder | Einrichtung und Ausstattung in deutschen Ländern und Landschaften | Einrichtung und Ausstattung | Deutsche Kunstgeschichte nach Gattungen | Deutschland | Kunst nach Ländern bzw. Kontinenten | Kunstgeschichte | allgemein"
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LK%2093140,LK 93140,"Hessen, Thüringen, Sachsen | Länder | Kunstgewerbe in deutschen Ländern und Landschaften | Kunstgewerbe | Deutsche Kunstgeschichte nach Gattungen | Deutschland | Kunst nach Ländern bzw. Kontinenten | Kunstgeschichte | allgemein"
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LV%2052265,LV 52265,Mitteldeutsche | Deutsche | Völker mit indogermanischen Sprachen | Volkslieder der Landschaften und Völker | Volksgesang | Volksmusik in Europa und Amerika - Tonträger | Musikalische Volks- und Völkerkunde: Tonträger | III. Tonträger | Musikwissenschaft | Hessen
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/MG%2021050,MG 21050,"Hessen | Bundesrepublik Deutschland | Westeuropa, Mitteleuropa | Europa, Nordamerika | Politische Systeme einzelner Länder | Politologie | Verfassungs- und Gesetzestexte"
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/MY%204055,MY 4055,Mittel- und Westdeutschland | Deutschland (insgesamt) | Mitteleuropa | Europa | Gesamtdarstellungen zur Militärwissenschaft und zum Militärwesen | Allgemeines zur Militärwissenschaft | Militärwissenschaft | Hessen
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/ND%201550,ND 1550,Archivinventare und Beschreibungen einzelner Archive Deutschlands und der ehemaligen deutschen Ostgebiete | Archivkunde | Historische Hilfswissenschaften | Geschichte | Hessen
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/NN%202884,NN 2884,"Einzelne Persönlichkeiten | Karl V. (1519 - 1555) | Geschichte des Reichs (1517 - 1555) | Zeitalter der Reformation (1517 - 1555) | Neuere Geschichte | Geschichte | Philipp (Hessen, Landgraf, I.)"
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/NQ%206930,NQ 6930,Einzelne Länder | Deutsche Länder seit 1945 | Bundesrepublik Deutschland (bis 1990) | Deutsche Geschichte seit 1945 | Geschichte seit 1918 | Geschichte | Hessen
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/NR%203790,NR 3790,"Hessen (Hessen-Darmstadt, Nassau, Hessen-Kassel) | Deutsche Landesgeschichte im Einzelnen (einschl. ehemaliger deutscher Gebiete) | Landes- und Stadtgeschichte (Allgemeine, Deutsche und Österreichische Landes- und Stadtgeschichte, Ausländische Stadtgeschichte, Geschichte der Auslanddeutschen) | Geschichte | Quellen"
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/NR%203795,NR 3795,"Hessen (Hessen-Darmstadt, Nassau, Hessen-Kassel) | Deutsche Landesgeschichte im Einzelnen (einschl. ehemaliger deutscher Gebiete) | Landes- und Stadtgeschichte (Allgemeine, Deutsche und Österreichische Landes- und Stadtgeschichte, Ausländische Stadtgeschichte, Geschichte der Auslanddeutschen) | Geschichte | Darstellungsreihen"
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/NR%203800,NR 3800,"Hessen (Hessen-Darmstadt, Nassau, Hessen-Kassel) | Deutsche Landesgeschichte im Einzelnen (einschl. ehemaliger deutscher Gebiete) | Landes- und Stadtgeschichte (Allgemeine, Deutsche und Österreichische Landes- und Stadtgeschichte, Ausländische Stadtgeschichte, Geschichte der Auslanddeutschen) | Geschichte | Landesgeschichte"
